#### This dataset contains Coffee Products data sold across various states,,,,,,,,,
,,,,,,,,,
,Area Code,Date,Product,Product Type,State,  Target Profit  ,  Target Sales  ,  Profit  ,  Sales  
,719,1/1/2018,Lemon,Herbal Tea,Andhra Pradesh,$20.00 ,$130.00 ,$0.00 ,$150.00 
,630,1/1/2018,Lemon,Herbal Tea,Tamil Nadu,$60.00 ,$160.00 ,$68.00 ,$190.00 
,740,1/1/2018,Lemon,Herbal Tea,Manipur,$50.00 ,$70.00 ,$29.00 ,$80.00 
,970,1/1/2018,Mint,Herbal Tea,Andhra Pradesh,$40.00 ,$120.00 ,$33.00 ,$140.00 
,773,1/1/2018,Mint,Herbal Tea,Tamil Nadu,$100.00 ,$200.00 ,$101.00 ,$234.00 
,863,1/1/2018,Chamomile,Herbal Tea,Karnataka,$30.00 ,$80.00 ,$34.00 ,$110.00 
,239,1/1/2018,Lemon,Herbal Tea,Karnataka,$20.00 ,$90.00 ,$13.00 ,$120.00 
,339,1/1/2018,Lemon,Herbal Tea,Gujarat,$30.00 ,$100.00 ,$17.00 ,$130.00 
,607,1/1/2018,Lemon,Herbal Tea,Madhya Pradesh,$100.00 ,$370.00 ,$111.00 ,$483.00 
,772,1/1/2018,Mint,Herbal Tea,Karnataka,$40.00 ,$110.00 ,$39.00 ,$150.00 
,845,1/1/2018,Mint,Herbal Tea,Madhya Pradesh,,$140.00 ,($113.00),$180.00 
,281,1/1/2018,Chamomile,Herbal Tea,Goa,$50.00 ,$130.00 ,$33.00 ,$140.00 
,254,1/1/2018,Lemon,Herbal Tea,Goa,$50.00 ,$130.00 ,$42.00 ,$140.00 
,510,1/1/2018,Chamomile,Herbal Tea,Maharashtra,$100.00 ,$200.00 ,$102.00 ,$234.00 
,310,1/1/2018,Lemon,Herbal Tea,Maharashtra,$160.00 ,$390.00 ,$160.00 ,$452.00 
,707,1/1/2018,Mint,Herbal Tea,Maharashtra,$60.00 ,$160.00 ,$67.00 ,$190.00 
,719,1/1/2018,Darjeeling,Tea,Andhra Pradesh,$20.00 ,$110.00 ,$17.00 ,$130.00 
,217,1/1/2018,Darjeeling,Tea,Tamil Nadu,$50.00 ,$110.00 ,$53.00 ,$134.00 
,567,1/1/2018,Darjeeling,Tea,Manipur,$60.00 ,$180.00 ,$68.00 ,$210.00 
,303,1/1/2018,Earl Grey,Tea,Andhra Pradesh,$40.00 ,$120.00 ,$36.00 ,$140.00 
,708,1/1/2018,Earl Grey,Tea,Tamil Nadu,$40.00 ,$150.00 ,$54.00 ,$180.00 
,216,1/1/2018,Earl Grey,Tea,Manipur,$60.00 ,$170.00 ,$67.00 ,$200.00 
,303,1/1/2018,Green Tea,Tea,Andhra Pradesh,$30.00 ,$80.00 ,$30.00 ,$100.00 
,954,1/1/2018,Darjeeling,Tea,Karnataka,$40.00 ,$80.00 ,$28.00 ,$80.00 
,508,1/1/2018,Darjeeling,Tea,Gujarat,$40.00 ,$80.00 ,$29.00 ,$80.00 
,347,1/1/2018,Darjeeling,Tea,Madhya Pradesh,$120.00 ,$250.00 ,$101.00 ,$234.00 
,646,1/1/2018,Earl Grey,Tea,Madhya Pradesh,$110.00 ,$230.00 ,$94.00 ,$219.00 
,754,1/1/2018,Green Tea,Tea,Karnataka,$40.00 ,$80.00 ,$28.00 ,$81.00 
,781,1/1/2018,Green Tea,Tea,Gujarat,$40.00 ,$80.00 ,$29.00 ,$80.00 
,347,1/1/2018,Green Tea,Tea,Madhya Pradesh,$70.00 ,$140.00 ,$54.00 ,$134.00 
,619,1/1/2018,Darjeeling,Tea,Maharashtra,$80.00 ,$140.00 ,$94.00 ,$219.00 
,650,1/1/2018,Earl Grey,Tea,Maharashtra,$60.00 ,$90.00 ,$54.00 ,$134.00 
,760,1/1/2018,Green Tea,Tea,Maharashtra,$50.00 ,$120.00 ,$54.00 ,$180.00 
,712,1/1/2018,Decaf Irish Cream,Coffee,Chhattisgarh,$20.00 ,$50.00 ,$12.00 ,$54.00 
,573,1/1/2018,Decaf Irish Cream,Coffee,Haryana,$50.00 ,$170.00 ,$47.00 ,$170.00 
,414,1/1/2018,Decaf Irish Cream,Coffee,Rajasthan,$60.00 ,$180.00 ,$51.00 ,$180.00 
,563,1/1/2018,Decaf Espresso,Espresso,Chhattisgarh,$30.00 ,$50.00 ,$10.00 ,$43.00 
,660,1/1/2018,Decaf Espresso,Espresso,Haryana,$60.00 ,$130.00 ,$45.00 ,$114.00 
,262,1/1/2018,Decaf Espresso,Espresso,Rajasthan,$50.00 ,$120.00 ,$34.00 ,$110.00 
,475,1/1/2018,Decaf Espresso,Espresso,Arunachal Pradesh,$40.00 ,$120.00 ,$30.00 ,$130.00 
,985,1/1/2018,Decaf Irish Cream,Coffee,Kerala,$50.00 ,$100.00 ,$28.00 ,$81.00 
,505,1/1/2018,Decaf Irish Cream,Coffee,Nagaland,,$120.00 ,($39.00),$99.00 
,580,1/1/2018,Decaf Irish Cream,Coffee,Meghalaya,$50.00 ,$100.00 ,$28.00 ,$80.00 
,337,1/1/2018,Decaf Espresso,Espresso,Kerala,$50.00 ,$120.00 ,$48.00 ,$150.00 
,505,1/1/2018,Decaf Espresso,Espresso,Nagaland,$10.00 ,$70.00 ,$9.00 ,$82.00 
,405,1/1/2018,Decaf Espresso,Espresso,Meghalaya,$70.00 ,$180.00 ,$67.00 ,$210.00 
,775,1/1/2018,Decaf Irish Cream,Coffee,Jharkhand,$20.00 ,$70.00 ,$4.00 ,$62.00 
,971,1/1/2018,Decaf Irish Cream,Coffee,Mizoram,$70.00 ,$170.00 ,$42.00 ,$140.00 
,801,1/1/2018,Decaf Irish Cream,Coffee,Odisha,$70.00 ,$230.00 ,$39.00 ,$190.00 
,509,1/1/2018,Decaf Irish Cream,Coffee,Punjab,$60.00 ,$230.00 ,$9.00 ,$190.00 
,775,1/1/2018,Decaf Espresso,Espresso,Jharkhand,$20.00 ,$40.00 ,$11.00 ,$43.00 
,971,1/1/2018,Decaf Espresso,Espresso,Mizoram,$100.00 ,$320.00 ,$99.00 ,$341.00 
,435,1/1/2018,Decaf Espresso,Espresso,Odisha,$50.00 ,$110.00 ,$47.00 ,$123.00 
,206,1/1/2018,Decaf Espresso,Espresso,Punjab,$60.00 ,$140.00 ,$39.00 ,$150.00 
,319,1/1/2018,Amaretto,Coffee,Chhattisgarh,$20.00 ,$40.00 ,$11.00 ,$45.00 
,262,1/1/2018,Amaretto,Coffee,Rajasthan,$30.00 ,$120.00 ,$13.00 ,$120.00 
,641,1/1/2018,Colombian,Coffee,Chhattisgarh,$20.00 ,$60.00 ,$5.00 ,$62.00 
,636,1/1/2018,Colombian,Coffee,Haryana,$40.00 ,$190.00 ,$39.00 ,$190.00 
,262,1/1/2018,Colombian,Coffee,Rajasthan,$20.00 ,$190.00 ,$9.00 ,$190.00 
,563,1/1/2018,Caffe Mocha,Espresso,Chhattisgarh,$30.00 ,$50.00 ,$11.00 ,$43.00 
,573,1/1/2018,Caffe Mocha,Espresso,Haryana,$70.00 ,$140.00 ,$48.00 ,$123.00 
,414,1/1/2018,Caffe Mocha,Espresso,Rajasthan,$50.00 ,$170.00 ,$38.00 ,$150.00 
,603,1/1/2018,Amaretto,Coffee,Assam,$30.00 ,$80.00 ,$20.00 ,$93.00 
,475,1/1/2018,Colombian,Coffee,Arunachal Pradesh,$130.00 ,$290.00 ,$115.00 ,$310.00 
,603,1/1/2018,Colombian,Coffee,Assam,$40.00 ,$110.00 ,$25.00 ,$120.00 
,860,1/1/2018,Caffe Mocha,Espresso,Arunachal Pradesh,$20.00 ,$170.00 ,$7.00 ,$180.00 
,603,1/1/2018,Caffe Mocha,Espresso,Assam,$0.00 ,$80.00 ,($10.00),$90.00 
,603,1/1/2018,Regular Espresso,Espresso,Assam,$0.00 ,$60.00 ,($8.00),$65.00 
,225,1/1/2018,Colombian,Coffee,Kerala,$50.00 ,$100.00 ,$30.00 ,$85.00 
,505,1/1/2018,Colombian,Coffee,Nagaland,$50.00 ,$150.00 ,$26.00 ,$120.00 
,580,1/1/2018,Colombian,Coffee,Meghalaya,$50.00 ,$120.00 ,$29.00 ,$100.00 
,504,1/1/2018,Caffe Latte,Espresso,Kerala,$10.00 ,$150.00 ,$8.00 ,$180.00 
,505,1/1/2018,Caffe Latte,Espresso,Nagaland,$0.00 ,$50.00 ,($8.00),$65.00 
,405,1/1/2018,Caffe Latte,Espresso,Meghalaya,$70.00 ,$170.00 ,$66.00 ,$200.00 
,337,1/1/2018,Caffe Mocha,Espresso,Kerala,$80.00 ,$150.00 ,$70.00 ,$180.00 
,505,1/1/2018,Caffe Mocha,Espresso,Nagaland,,$70.00 ,($10.00),$90.00 
,405,1/1/2018,Caffe Mocha,Espresso,Meghalaya,$40.00 ,$60.00 ,$28.00 ,$80.00 
,541,1/1/2018,Amaretto,Coffee,Mizoram,$40.00 ,$180.00 ,$1.00 ,$150.00 
,801,1/1/2018,Amaretto,Coffee,Odisha,$80.00 ,$210.00 ,$47.00 ,$170.00 
,702,1/1/2018,Colombian,Coffee,Jharkhand,$10.00 ,$90.00 ,($3.00),$76.00 
,503,1/1/2018,Colombian,Coffee,Mizoram,$60.00 ,$200.00 ,$28.00 ,$160.00 
,435,1/1/2018,Colombian,Coffee,Odisha,$70.00 ,$160.00 ,$30.00 ,$130.00 
,206,1/1/2018,Colombian,Coffee,Punjab,$70.00 ,$160.00 ,$38.00 ,$130.00 
,775,1/1/2018,Caffe Latte,Espresso,Jharkhand,$20.00 ,$40.00 ,$11.00 ,$43.00 
,503,1/1/2018,Caffe Latte,Espresso,Mizoram,$20.00 ,$120.00 ,$16.00 ,$130.00 
,435,1/1/2018,Caffe Latte,Espresso,Odisha,$40.00 ,$100.00 ,$44.00 ,$114.00 
,425,1/1/2018,Caffe Latte,Espresso,Punjab,$40.00 ,$100.00 ,$35.00 ,$110.00 
,702,1/1/2018,Caffe Mocha,Espresso,Jharkhand,$20.00 ,$40.00 ,$10.00 ,$45.00 
,503,1/1/2018,Caffe Mocha,Espresso,Mizoram,$50.00 ,$130.00 ,$33.00 ,$140.00 
,435,1/1/2018,Caffe Mocha,Espresso,Odisha,$40.00 ,$100.00 ,$34.00 ,$112.00 
,253,1/1/2018,Caffe Mocha,Espresso,Punjab,$20.00 ,$110.00 ,$13.00 ,$120.00 
,641,1/1/2018,Chamomile,Herbal Tea,Chhattisgarh,$200.00 ,$480.00 ,$202.00 ,$546.00 
,573,1/1/2018,Chamomile,Herbal Tea,Haryana,$0.00 ,$70.00 ,($11.00),$90.00 
,715,1/1/2018,Chamomile,Herbal Tea,Rajasthan,$80.00 ,$150.00 ,$70.00 ,$180.00 
,563,1/1/2018,Lemon,Herbal Tea,Chhattisgarh,$90.00 ,$200.00 ,$86.00 ,$234.00 
,314,1/1/2018,Lemon,Herbal Tea,Haryana,,$80.00 ,($39.00),$99.00 
,715,1/1/2018,Lemon,Herbal Tea,Rajasthan,$50.00 ,$70.00 ,$28.00 ,$81.00 
,860,1/1/2018,Lemon,Herbal Tea,Arunachal Pradesh,$40.00 ,$140.00 ,$40.00 ,$190.00 
,603,1/1/2018,Lemon,Herbal Tea,Assam,$0.00 ,$50.00 ,($4.00),$76.00 
,475,1/1/2018,Mint,Herbal Tea,Arunachal Pradesh,$50.00 ,$130.00 ,$47.00 ,$170.00 
,337,1/1/2018,Chamomile,Herbal Tea,Kerala,$40.00 ,$100.00 ,$35.00 ,$112.00 
,505,1/1/2018,Chamomile,Herbal Tea,Nagaland,$20.00 ,$40.00 ,$11.00 ,$45.00 
,918,1/1/2018,Chamomile,Herbal Tea,Meghalaya,$20.00 ,$110.00 ,$13.00 ,$120.00 
,504,1/1/2018,Lemon,Herbal Tea,Kerala,$40.00 ,$180.00 ,$40.00 ,$190.00 
,505,1/1/2018,Lemon,Herbal Tea,Nagaland,$20.00 ,$60.00 ,$4.00 ,$62.00 
,580,1/1/2018,Lemon,Herbal Tea,Meghalaya,$30.00 ,$180.00 ,$10.00 ,$190.00 
,702,1/1/2018,Chamomile,Herbal Tea,Jharkhand,$30.00 ,$220.00 ,$16.00 ,$250.00 
,971,1/1/2018,Chamomile,Herbal Tea,Mizoram,$40.00 ,$70.00 ,$33.00 ,$90.00 
,801,1/1/2018,Chamomile,Herbal Tea,Odisha,$30.00 ,$80.00 ,$21.00 ,$93.00 
,206,1/1/2018,Chamomile,Herbal Tea,Punjab,$120.00 ,$270.00 ,$115.00 ,$310.00 
,775,1/1/2018,Lemon,Herbal Tea,Jharkhand,$120.00 ,$300.00 ,$111.00 ,$345.00 
,503,1/1/2018,Lemon,Herbal Tea,Mizoram,$30.00 ,$80.00 ,$29.00 ,$100.00 
,435,1/1/2018,Lemon,Herbal Tea,Odisha,$30.00 ,$100.00 ,$25.00 ,$120.00 
,360,1/1/2018,Lemon,Herbal Tea,Punjab,$50.00 ,$70.00 ,$30.00 ,$85.00 
,702,1/1/2018,Mint,Herbal Tea,Jharkhand,$90.00 ,$200.00 ,$86.00 ,$234.00 
,435,1/1/2018,Mint,Herbal Tea,Odisha,,$80.00 ,($40.00),$99.00 
,712,1/1/2018,Darjeeling,Tea,Chhattisgarh,$140.00 ,$400.00 ,$141.00 ,$456.00 
,314,1/1/2018,Darjeeling,Tea,Haryana,$10.00 ,$70.00 ,$9.00 ,$82.00 
,608,1/1/2018,Darjeeling,Tea,Rajasthan,$50.00 ,$130.00 ,$47.00 ,$150.00 
,319,1/1/2018,Earl Grey,Tea,Chhattisgarh,$160.00 ,$480.00 ,$175.00 ,$546.00 
,573,1/1/2018,Earl Grey,Tea,Haryana,,$50.00 ,($9.00),$65.00 
,262,1/1/2018,Earl Grey,Tea,Rajasthan,$10.00 ,$150.00 ,$7.00 ,$180.00 
,417,1/1/2018,Green Tea,Tea,Haryana,$0.00 ,$60.00 ,($4.00),$76.00 
,475,1/1/2018,Darjeeling,Tea,Arunachal Pradesh,$60.00 ,$130.00 ,$47.00 ,$123.00 
,603,1/1/2018,Darjeeling,Tea,Assam,$20.00 ,$40.00 ,$10.00 ,$45.00 
,475,1/1/2018,Green Tea,Tea,Arunachal Pradesh,$40.00 ,$100.00 ,$35.00 ,$94.00 
,603,1/1/2018,Green Tea,Tea,Assam,$20.00 ,$40.00 ,$11.00 ,$43.00 
,775,1/1/2018,Darjeeling,Tea,Jharkhand,$150.00 ,$370.00 ,$203.00 ,$546.00 
,971,1/1/2018,Darjeeling,Tea,Mizoram,$30.00 ,$50.00 ,$28.00 ,$80.00 
,435,1/1/2018,Darjeeling,Tea,Odisha,$0.00 ,$60.00 ,($10.00),$90.00 
,360,1/1/2018,Darjeeling,Tea,Punjab,$50.00 ,$120.00 ,$70.00 ,$180.00 
,775,1/1/2018,Earl Grey,Tea,Jharkhand,$100.00 ,$310.00 ,$141.00 ,$456.00 
,503,1/1/2018,Earl Grey,Tea,Mizoram,$60.00 ,$140.00 ,$68.00 ,$210.00 
,435,1/1/2018,Earl Grey,Tea,Odisha,$10.00 ,$50.00 ,$9.00 ,$82.00 
,253,1/1/2018,Earl Grey,Tea,Punjab,$40.00 ,$100.00 ,$48.00 ,$150.00 
,702,1/1/2018,Green Tea,Tea,Jharkhand,,$0.00 ,($354.00),$17.00 
,541,1/1/2018,Green Tea,Tea,Mizoram,$50.00 ,$130.00 ,$67.00 ,$200.00 
,435,1/1/2018,Green Tea,Tea,Odisha,$10.00 ,$40.00 ,($9.00),$65.00 
,360,1/1/2018,Green Tea,Tea,Punjab,$20.00 ,$120.00 ,$8.00 ,$180.00 
,719,2/1/2018,Decaf Irish Cream,Coffee,Andhra Pradesh,$110.00 ,$240.00 ,$99.00 ,$232.00 
,847,2/1/2018,Decaf Irish Cream,Coffee,Tamil Nadu,$100.00 ,$260.00 ,$95.00 ,$254.00 
,614,2/1/2018,Decaf Irish Cream,Coffee,Manipur,$20.00 ,$130.00 ,($3.00),$129.00 
,303,2/1/2018,Decaf Espresso,Espresso,Andhra Pradesh,$90.00 ,$220.00 ,$59.00 ,$189.00 
,312,2/1/2018,Decaf Espresso,Espresso,Tamil Nadu,$180.00 ,$530.00 ,$142.00 ,$457.00 
,614,2/1/2018,Decaf Espresso,Espresso,Manipur,$40.00 ,$150.00 ,$18.00 ,$132.00 
,305,2/1/2018,Decaf Irish Cream,Coffee,Karnataka,$70.00 ,$190.00 ,$71.00 ,$206.00 
,407,2/1/2018,Decaf Espresso,Espresso,Karnataka,$60.00 ,$170.00 ,$51.00 ,$180.00 
,432,2/1/2018,Decaf Irish Cream,Coffee,Goa,$100.00 ,$230.00 ,$68.00 ,$190.00 
,956,2/1/2018,Decaf Espresso,Espresso,Goa,$90.00 ,$160.00 ,$80.00 ,$189.00 
,818,2/1/2018,Decaf Irish Cream,Coffee,Maharashtra,,$150.00 ,($117.00),$122.00 
,951,2/1/2018,Decaf Espresso,Espresso,Maharashtra,$200.00 ,$520.00 ,$202.00 ,$545.00 
,303,2/1/2018,Amaretto,Coffee,Andhra Pradesh,$120.00 ,$250.00 ,$105.00 ,$243.00 
,937,2/1/2018,Amaretto,Coffee,Manipur,$50.00 ,$140.00 ,$33.00 ,$140.00 
,720,2/1/2018,Colombian,Coffee,Andhra Pradesh,$80.00 ,$190.00 ,$68.00 ,$190.00 
,312,2/1/2018,Colombian,Coffee,Tamil Nadu,$140.00 ,$370.00 ,$115.00 ,$354.00 
,513,2/1/2018,Colombian,Coffee,Manipur,$50.00 ,$130.00 ,$38.00 ,$128.00 
,970,2/1/2018,Caffe Mocha,Espresso,Andhra Pradesh,$110.00 ,$220.00 ,$80.00 ,$189.00 
,708,2/1/2018,Caffe Mocha,Espresso,Tamil Nadu,$260.00 ,$640.00 ,$201.00 ,$545.00 
,234,2/1/2018,Caffe Mocha,Espresso,Manipur,$140.00 ,$400.00 ,$98.00 ,$340.00 
,754,2/1/2018,Colombian,Coffee,Karnataka,$80.00 ,$190.00 ,$63.00 ,$200.00 
,774,2/1/2018,Colombian,Coffee,Gujarat,$330.00 ,$440.00 ,$340.00 ,$470.00 
,917,2/1/2018,Colombian,Coffee,Madhya Pradesh,$250.00 ,$610.00 ,$245.00 ,$645.00 
,305,2/1/2018,Caffe Mocha,Espresso,Karnataka,$40.00 ,$210.00 ,$16.00 ,$220.00 
,508,2/1/2018,Caffe Mocha,Espresso,Gujarat,$10.00 ,$120.00 ,($4.00),$128.00 
,585,2/1/2018,Caffe Mocha,Espresso,Madhya Pradesh,,$50.00 ,($203.00),$61.00 
,508,2/1/2018,Regular Espresso,Espresso,Gujarat,$110.00 ,$330.00 ,$99.00 ,$340.00 
,585,2/1/2018,Regular Espresso,Espresso,Madhya Pradesh,$280.00 ,$560.00 ,$264.00 ,$580.00 
,972,2/1/2018,Colombian,Coffee,Goa,$240.00 ,$580.00 ,$164.00 ,$465.00 
,512,2/1/2018,Caffe Latte,Espresso,Goa,$60.00 ,$160.00 ,$58.00 ,$189.00 
,903,2/1/2018,Caffe Mocha,Espresso,Goa,$100.00 ,$200.00 ,$106.00 ,$243.00 
,909,2/1/2018,Amaretto,Coffee,Maharashtra,,$160.00 ,($27.00),$132.00 
,415,2/1/2018,Colombian,Coffee,Maharashtra,$360.00 ,$800.00 ,$245.00 ,$645.00 
,831,2/1/2018,Caffe Latte,Espresso,Maharashtra,$150.00 ,$430.00 ,$142.00 ,$457.00 
,916,2/1/2018,Caffe Mocha,Espresso,Maharashtra,$30.00 ,$270.00 ,$26.00 ,$290.00 
,970,2/1/2018,Chamomile,Herbal Tea,Andhra Pradesh,$100.00 ,$290.00 ,$99.00 ,$340.00 
,815,2/1/2018,Chamomile,Herbal Tea,Tamil Nadu,$110.00 ,$210.00 ,$105.00 ,$243.00 
,330,2/1/2018,Chamomile,Herbal Tea,Manipur,$30.00 ,$40.00 ,$17.00 ,$56.00 
,970,2/1/2018,Lemon,Herbal Tea,Andhra Pradesh,$10.00 ,$110.00 ,($3.00),$129.00 
,773,2/1/2018,Lemon,Herbal Tea,Tamil Nadu,$60.00 ,$160.00 ,$68.00 ,$190.00 
,740,2/1/2018,Lemon,Herbal Tea,Manipur,$50.00 ,$70.00 ,$28.00 ,$80.00 
,303,2/1/2018,Mint,Herbal Tea,Andhra Pradesh,$40.00 ,$120.00 ,$33.00 ,$140.00 
,847,2/1/2018,Mint,Herbal Tea,Tamil Nadu,$100.00 ,$200.00 ,$99.00 ,$232.00 
,754,2/1/2018,Chamomile,Herbal Tea,Karnataka,$30.00 ,$80.00 ,$34.00 ,$110.00 
,727,2/1/2018,Lemon,Herbal Tea,Karnataka,$20.00 ,$90.00 ,$12.00 ,$118.00 
,781,2/1/2018,Lemon,Herbal Tea,Gujarat,$30.00 ,$100.00 ,$18.00 ,$132.00 
,518,2/1/2018,Lemon,Herbal Tea,Madhya Pradesh,$110.00 ,$380.00 ,$131.00 ,$495.00 
,850,2/1/2018,Mint,Herbal Tea,Karnataka,$50.00 ,$120.00 ,$42.00 ,$154.00 
,607,2/1/2018,Mint,Herbal Tea,Madhya Pradesh,,$140.00 ,($120.00),$180.00 
,214,2/1/2018,Chamomile,Herbal Tea,Goa,$50.00 ,$130.00 ,$33.00 ,$140.00 
,432,2/1/2018,Lemon,Herbal Tea,Goa,$50.00 ,$120.00 ,$38.00 ,$128.00 
,949,2/1/2018,Chamomile,Herbal Tea,Maharashtra,$100.00 ,$200.00 ,$100.00 ,$232.00 
,714,2/1/2018,Lemon,Herbal Tea,Maharashtra,$160.00 ,$400.00 ,$164.00 ,$465.00 
,530,2/1/2018,Mint,Herbal Tea,Maharashtra,$60.00 ,$160.00 ,$68.00 ,$190.00 
,719,2/1/2018,Darjeeling,Tea,Andhra Pradesh,$10.00 ,$110.00 ,$18.00 ,$132.00 
,309,2/1/2018,Darjeeling,Tea,Tamil Nadu,$80.00 ,$160.00 ,$79.00 ,$189.00 
,614,2/1/2018,Darjeeling,Tea,Manipur,$60.00 ,$170.00 ,$62.00 ,$200.00 
,720,2/1/2018,Earl Grey,Tea,Andhra Pradesh,$30.00 ,$110.00 ,$34.00 ,$136.00 
,630,2/1/2018,Earl Grey,Tea,Tamil Nadu,$50.00 ,$160.00 ,$59.00 ,$189.00 
,513,2/1/2018,Earl Grey,Tea,Manipur,$70.00 ,$180.00 ,$71.00 ,$206.00 
,970,2/1/2018,Green Tea,Tea,Andhra Pradesh,$30.00 ,$80.00 ,$30.00 ,$100.00 
,786,2/1/2018,Darjeeling,Tea,Karnataka,$40.00 ,$80.00 ,$28.00 ,$80.00 
,978,2/1/2018,Darjeeling,Tea,Gujarat,$40.00 ,$80.00 ,$28.00 ,$80.00 
,631,2/1/2018,Darjeeling,Tea,Madhya Pradesh,$120.00 ,$250.00 ,$100.00 ,$232.00 
,518,2/1/2018,Earl Grey,Tea,Madhya Pradesh,$130.00 ,$260.00 ,$105.00 ,$243.00 
,727,2/1/2018,Green Tea,Tea,Karnataka,$60.00 ,$120.00 ,$44.00 ,$115.00 
,978,2/1/2018,Green Tea,Tea,Gujarat,$30.00 ,$60.00 ,$17.00 ,$56.00 
,845,2/1/2018,Green Tea,Tea,Madhya Pradesh,$90.00 ,$200.00 ,$79.00 ,$189.00 
,626,2/1/2018,Darjeeling,Tea,Maharashtra,$90.00 ,$160.00 ,$106.00 ,$243.00 
,858,2/1/2018,Earl Grey,Tea,Maharashtra,$60.00 ,$120.00 ,$80.00 ,$189.00 
